bsn,name,rah,ram,ras,decd,decm,decs,glon,glat,vmag,vmag rank,spectype,specnum
4939,,13,5,31,-52,6,54,305.13,10.70,6.43,7958,M1III,6
1429,,4,28,9,-41,57,36,246.27,-43.80,6.44,7997,M1III,6
8953,,23,35,56,24,33,40,101.83,-35.20,6.45,8127,M1III,6
4307,,11,3,16,-31,57,39,277.62,25.54,6.46,8158,M1III,6
1250,,4,0,16,-51,33,53,260.82,-47.14,6.51,8410,M1III,6
7520,,19,44,38,34,24,50,69.22,5.10,6.57,8677,M1III,6
8978,,23,41,7,-24,9,37,39.63,-73.89,6.60,8777,M1III,6
7676,64    Dra,20,1,29,64,49,16,97.77,17.38,5.27,2239,M1III-IIIb,6
881,,3,6,8,79,25,7,129.08,18.19,5.49,2824,M1III+F7IV,6
4666,2    CVn,12,16,8,40,39,37,148.99,74.63,5.66,3447,M1III+F7V,6
3013,80Pi  Gem,7,47,30,33,24,56,186.76,25.53,5.14,1914,M1IIIa,6
1802,17    Cam,5,30,10,63,4,2,149.08,15.46,5.42,2611,M1IIIa,6
2738,53    Gem,7,15,57,27,53,51,189.91,17.30,5.71,3636,M1IIIa,6
6258,50    Her,16,50,39,29,48,24,50.91,37.96,5.72,3696,M1IIIa,6
7687,,20,5,7,51,50,22,86.31,10.65,6.14,5917,M1IIIa,6
4517,3Nu  Vir,11,45,52,6,31,46,262.86,64.18,4.03,538,M1IIIab,6
8795,55    Peg,23,7,0,9,24,34,84.62,-45.55,4.52,927,M1IIIab,6
8284,75    Cyg,21,40,11,43,16,26,90.00,-7.04,5.11,1854,M1IIIab,6
3769,8    LMi,9,31,32,35,6,11,189.47,46.93,5.37,2479,M1IIIab,6
5452,,14,34,40,49,22,6,88.15,60.21,5.74,3776,M1IIIab,6
5073,,13,26,8,72,23,29,119.27,44.49,5.79,4036,M1IIIab,6
8625,,22,37,13,75,22,18,114.63,14.71,5.79,4053,M1IIIab,6
7356,,19,20,16,57,38,43,88.77,18.99,5.91,4594,M1IIIab,6
